房间价格信息汇总
==================================================
房间号	12M价格	6-11M价格	2-5M价格	1M价格
B1010	17700	19116	19824.000000000004	22125
B1011	17700	19116	19824.000000000004	22125
B1012	22700	24516	25424.000000000004	28375
B1013	14040	15163.2	15724.800000000001	17550
B1101	21300	23004	23856.000000000004	26625
B1102	22300	24084	24976.000000000004	27875
B1103	18800	20304	21056.000000000004	23500
B1105	16150	17442	18088	20187.5
B1106	15650	16902	17528	19562.5
B1107	12720.1	13737.708	14246.512000000002	15900.125
B1108	14650	15822.000000000002	16408	18312.5
B1109	20150	21762	22568.000000000004	25187.5
B1110	17800	19224	19936.000000000004	22250
B1111	17800	19224	19936.000000000004	22250
B1112	22800	24624	25536.000000000004	28500
B1113	14060	15184.800000000001	15747.2	17575
B1201	21400	23112	23968.000000000004	26750
B1202	22400	24192	25088.000000000004	28000
B1203	18900	20412	21168.000000000004	23625
B1205	16200	17496	18144	20250
B1206	15700	16956	17584	19625
B1207	12770.1	13791.708	14302.512000000002	15962.625
B1208	14700	15876.000000000002	16464	18375
B1209	20200	21816	22624.000000000004	25250
B1210	17900	19332	20048.000000000004	22375
B1211	17900	19332	20048.000000000004	22375
B1212	22900	24732	25648.000000000004	28625
B1213	14080	15206.400000000001	15769.600000000002	17600
B1501	21500	23220	24080.000000000004	26875
B1502	22500	24300	25200.000000000004	28125
B1503	19000	20520	21280.000000000004	23750
B1505	16250	17550	18200	20312.5
B1506	15750	17010	17640	19687.5
B1507	12820.1	13845.708	14358.512000000002	16025.125
B1508	14750	15930.000000000002	16520	18437.5
B1509	20250	21870	22680.000000000004	25312.5
B1510	18000	19440	20160.000000000004	22500
B1511	18000	19440	20160.000000000004	22500
B1512	23000	24840	25760.000000000004	28750
B1513	14100	15228.000000000002	15792.000000000002	17625
B1601	21600	23328	24192.000000000004	27000
B1602	22600	24408	25312.000000000004	28250
B1603	19100	20628	21392.000000000004	23875
B1605	16300	17604	18256	20375
B1606	15800	17064	17696	19750
B1607	12870.1	13899.708	14414.512000000002	16087.625
B1608	14800	15984.000000000002	16576	18500
B1609	20300	21924	22736.000000000004	25375
B1610	18100	19548	20272.000000000004	22625
B1611	18100	19548	20272.000000000004	22625
B1612	23100	24948	25872.000000000004	28875
B1613	14120	15249.6	15814.400000000001	17650
B1701	21700	23436	24304.000000000004	27125
B1702	22700	24516	25424.000000000004	28375
B1703	19200	20736	21504.000000000004	24000
B1705	17000	18360	19040	21250
B1706	18788.72	20291.817600000002	21043.366400000003	23485.9
B1707	18500	19980	20720.000000000004	23125
B1708	18500	19980	20720.000000000004	23125
B1709	22500	24300	25200.000000000004	28125
B1710	13200	14256.000000000002	14784.000000000002	16500
B1801	21800	23544	24416.000000000004	27250
B1802	22800	24624	25536.000000000004	28500
B1803	19300	20844	21616.000000000004	24125
B1805	17100	18468	19152.000000000004	21375
B1806	18838.72	20345.817600000002	21099.366400000003	23548.4
B1807	18550	20034	20776.000000000004	23187.5
B1808	18550	20034	20776.000000000004	23187.5
B1809	22600	24408	25312.000000000004	28250
B1810	13250	14310.000000000002	14840.000000000002	16562.5
B1907	18600	20088	20832.000000000004	23250
B1908	18600	20088	20832.000000000004	23250
B1909	22700	24516	25424.000000000004	28375
B1910	38000	41040	42560.00000000001	47500
B208	10000	10800	11200.000000000002	12500
B209	16000	17280	17920	20000
B210	20000	21600	22400.000000000004	25000
B211	21000	22680	23520.000000000004	26250
B212	21500	23220	24080.000000000004	26875
B213	12800	13824	14336.000000000002	16000
B215	18000	19440	20160.000000000004	22500
B301	24000	25920	26880.000000000004	30000
B302	11000	11880	12320.000000000002	13750
B303	22000	23760	24640.000000000004	27500
B305	21000	22680	23520.000000000004	26250
B306	15000	16200.000000000002	16800	18750
B307	15000	16200.000000000002	16800	18750
B308	10100	10908	11312.000000000002	12625
B309	16500	17820	18480	20625
B310	20200	21816	22624.000000000004	25250
B311	21200	22896	23744.000000000004	26500
B312	21700	23436	24304.000000000004	27125
B313	13000	14040.000000000002	14560.000000000002	16250
B315	19000	20520	21280.000000000004	23750
B501	24200	26136	27104.000000000004	30250
B502	11200	12096	12544.000000000002	14000
B503	22300	24084	24976.000000000004	27875
B505	21300	23004	23856.000000000004	26625
B506	15100	16308.000000000002	16912	18875
B507	15100	16308.000000000002	16912	18875
B508	10200	11016	11424.000000000002	12750
B509	17000	18360	19040	21250
B510	20400	22032	22848.000000000004	25500
B511	21400	23112	23968.000000000004	26750
B512	21900	23652	24528.000000000004	27375
B513	13200	14256.000000000002	14784.000000000002	16500
B515	19300	20844	21616.000000000004	24125
B601	24500	26460	27440.000000000004	30625
B602	11500	12420	12880.000000000002	14375
B603	22500	24300	25200.000000000004	28125
B605	21600	23328	24192.000000000004	27000
B606	15200	16416	17024	19000
B607	15200	16416	17024	19000
B608	10300	11124	11536.000000000002	12875
B609	12196	13171.68	13659.52	15245
B610	20600	22248	23072.000000000004	25750
B611	21600	23328	24192.000000000004	27000
B612	22100	23868	24752.000000000004	27625
B613	13400	14472.000000000002	15008.000000000002	16750
B615	19600	21168	21952.000000000004	24500
B616	18001	N/A	20161	N/A
B703	18000	19440	20160.000000000004	22500
B705	15775	17037	17668	19718.75
B706	13341	14408.28	14941.920000000002	16676.25
B707	12611	13619.880000000001	14124.320000000002	15763.75
B708	12246	13225.68	13715.52	15307.5
B709	13341	14408.28	14941.920000000002	16676.25
B710	17965.280000000002	19402.502400000005	20121.113600000004	22456.600000000002
B711	15775.04	17037.043200000004	17668.044800000003	19718.800000000003
B712	15775.04	17037.043200000004	17668.044800000003	19718.800000000003
B716	N/A	18878	N/A	21850
B801	21000	22680	23520.000000000004	26250
B802	22000	23760	24640.000000000004	27500
B803	18500	19980	20720.000000000004	23125
B805	16000	17280	17920	20000
B806	15500	16740	17360	19375
B807	12570.1	13575.708	14078.512000000002	15712.625
B808	14500	15660.000000000002	16240.000000000002	18125
B809	20000	21600	22400.000000000004	25000
B810	17500	18900	19600.000000000004	21875
B811	17500	18900	19600.000000000004	21875
B812	22500	24300	25200.000000000004	28125
B813	14000	15120.000000000002	15680.000000000002	17500
B901	21100	22788	23632.000000000004	26375
B902	22100	23868	24752.000000000004	27625
B903	18600	20088	20832.000000000004	23250
B905	16050	17334	17976	20062.5
B906	15550	16794	17416	19437.5
B907	12620.1	13629.708	14134.512000000002	15775.125
B908	14550	15714.000000000002	16296.000000000002	18187.5
B909	20050	21654	22456.000000000004	25062.5
B910	17600	19008	19712.000000000004	22000
B911	17600	19008	19712.000000000004	22000
B912	22600	24408	25312.000000000004	28250
B913	14020	15141.6	15702.400000000001	17525
Highest01	24500	26460	27440.000000000004	30625
Highest02	22800	24624	25536.000000000004	28500
Highest03	22500	24300	25200.000000000004	28125
Highest05	21600	23328	24192.000000000004	27000
Highest06	18838.72	20345.817600000002	21099.366400000003	23548.4
Highest07	18600	20088	20832.000000000004	23250
Highest08	18600	20088	20832.000000000004	23250
Highest09	22700	24516	25424.000000000004	28375
Highest10	38000	41040	42560.00000000001	47500
Highest11	21600	23328	24192.000000000004	27000
Highest12	23100	24948	25872.000000000004	28875
Highest13	14120	15249.6	15814.400000000001	17650
Highest15	19600	21168	21952.000000000004	24500
Highest16	14021.52	15143.241600000001	17478.115200000004	17526.9
Highest17	14021.52	15143.241600000001	17478.115200000004	17526.9
Highest18	15431.68	16666.2144	17478.115200000004	19289.6
Highest19	30518.24	32959.6992	34180.4288	38147.8
Highest20	21200	22896	23744.000000000004	26500
Highest21	14650	15822.000000000002	16408	18312.5
Highest22	30368.24	32797.6992	34012.4288	37960.3
Highest23	20550	22194	23016.000000000004	25687.5
Highest25	14650	15822.000000000002	16408	18312.5
Highest26	14650	15822.000000000002	16408	18312.5
Highest27	14650	15822.000000000002	16408	18312.5
Highest28	14650	15822.000000000002	16408	18312.5
Highest29	14650	15822.000000000002	16408	18312.5
Highest30	14650	15822.000000000002	16408	18312.5
Highest31	14650	15822.000000000002	16408	18312.5
Highest32	14650	15822.000000000002	16408	18312.5
Highest33	14650	15822.000000000002	16408	18312.5
Highest35	19819	21404.52	22197.280000000002	24773.75
Highest36	14650	15822.000000000002	16408	18312.5
Highest37	14650	15822.000000000002	16408	18312.5
Lowest01	21000	22680	23520.000000000004	26250
Lowest02	11000	11880	12320.000000000002	13750
Lowest03	18000	19440	20160.000000000004	22500
Lowest05	15775	17037	17668	19718.75
Lowest06	13341	14408.28	14941.920000000002	16676.25
Lowest07	12570.1	13575.708	14078.512000000002	15712.625
Lowest08	10000	10800	11200.000000000002	12500
Lowest09	12196	13171.68	13659.52	15245
Lowest10	13200	14256.000000000002	14784.000000000002	16500
Lowest11	15775.04	17037.043200000004	17668.044800000003	19718.800000000003
Lowest12	15775.04	17037.043200000004	17668.044800000003	19718.800000000003
Lowest13	12800	13824	14336.000000000002	16000
Lowest15	18000	19440	20160.000000000004	22500
Lowest16	12170.86333686803	13144.532403817473	13631.366937292194	15213.579171085037
Lowest17	12170.86333686803	13144.532403817473	13631.366937292194	15213.579171085037
Lowest18	12170.86333686803	13144.532403817473	13631.366937292194	15213.579171085037
Lowest19	14000	N/A	15680.000000000002	N/A
Lowest20	14500	15660.000000000002	16240.000000000002	18125
Lowest21	12170.86333686803	13144.532403817473	13631.366937292194	15213.579171085037
Lowest22	14550	15714.000000000002	16296.000000000002	18187.5
Lowest23	14550	15714.000000000002	16296.000000000002	18187.5
Lowest25	14550	15714.000000000002	16296.000000000002	18187.5
Lowest26	14550	15714.000000000002	16296.000000000002	18187.5
Lowest27	14550	15714.000000000002	16296.000000000002	18187.5
Lowest28	14550	15714.000000000002	16296.000000000002	18187.5
Lowest29	14550	15714.000000000002	16296.000000000002	18187.5
Lowest30	14550	15714.000000000002	16296.000000000002	18187.5
Lowest31	14550	15714.000000000002	16296.000000000002	18187.5
Lowest32	14550	15714.000000000002	16296.000000000002	18187.5
Lowest33	14550	15714.000000000002	16296.000000000002	18187.5
Lowest35	19719	21296.52	22085.280000000002	24648.75
Lowest36	14550	15714.000000000002	16296.000000000002	18187.5
Lowest37	14550	15714.000000000002	16296.000000000002	18187.5
