房间价格信息汇总
==================================================
房间号	12M价格	6-11M价格	2-5M价格	1M价格
A1815	18993.260000000002	20512.720800000003	21272.451200000003	23741.575000000004
A1816	12570.86333686803	13576.532403817473	14079.366937292194	15713.579171085037
A1817	12570.86333686803	13576.532403817473	14079.366937292194	15713.579171085037
A1818	12570.86333686803	13576.532403817473	14079.366937292194	15713.579171085037
A1819	14160	15292.800000000001	15859.2	17700
A1820	14900	16092.000000000002	16688	18625
A1821	12570.86333686803	13576.532403817473	14079.366937292194	15713.579171085037
A1822	30218.24	32635.699200000003	33844.4288	37772.8
A1823	20400	22032	22848.000000000004	25500
A1901	13287.070000000002	14350.035600000003	14881.518400000003	16608.8375
A1902	22900	24732	25648.000000000004	28625
A1903	12620.86333686803	13630.532403817473	14135.366937292194	15776.079171085037
A1905	12620.86333686803	13630.532403817473	14135.366937292194	15776.079171085037
A1906	12620.86333686803	13630.532403817473	14135.366937292194	15776.079171085037
A1907	12620.86333686803	13630.532403817473	14135.366937292194	15776.079171085037
A1908	12620.86333686803	13630.532403817473	14135.366937292194	15776.079171085037
A1909	12620.86333686803	13630.532403817473	14135.366937292194	15776.079171085037
A1910	14662.78	15835.802400000002	16422.3136	18328.475000000002
A1911	18900	20412	21168.000000000004	23625
A1912	15484.12	16722.8496	17342.2144	19355.15
A1913	15805.460000000001	17069.896800000002	17702.115200000004	19756.825
A1915	19043.260000000002	20566.720800000003	21328.451200000003	23804.075000000004
A1916	12620.86333686803	13630.532403817473	14135.366937292194	15776.079171085037
A1917	12620.86333686803	13630.532403817473	14135.366937292194	15776.079171085037
A1918	12620.86333686803	13630.532403817473	14135.366937292194	15776.079171085037
A1919	14180	15314.400000000001	15881.600000000002	17725
A1920	14950	16146.000000000002	16744	18687.5
A1921	12620.86333686803	13630.532403817473	14135.366937292194	15776.079171085037
A1922	30268.24	32689.699200000003	33900.4288	37835.3
A1923	20450	22086	22904.000000000004	25562.5
A2001	13337.070000000002	14404.035600000003	14937.518400000003	16671.3375
A2002	23000	24840	25760.000000000004	28750
A2003	12670.86333686803	13684.532403817473	14191.366937292194	15838.579171085037
A2005	12670.86333686803	13684.532403817473	14191.366937292194	15838.579171085037
A2006	12670.86333686803	13684.532403817473	14191.366937292194	15838.579171085037
